City,Outlet Name,URL,Notes
"Loves Park, IL",WILV FM 91.1 Christian K Love,http://www.klove.com/,
"Loves Park, IL",W263BJ FM 100.5 Mid-way radio/ WNTA 1330 AM,http://www.lamovidaradiorockford.com/,
"Marietta, GA",W222AF (WGST) 92.3,http://640wgst.iheart.com/,
"Marietta, GA",W286AZ (WFOM) (CP) 106.3 and WFOM 1230 AM,http://atlantassportsstation.com/,
"Marietta, GA",Marietta Patch,http://patch.com/georgia/marietta,
"Marietta, GA",WFTD 1080 AM Viet Song Media,http://vietsongmedia.com/,
"Marietta, GA",The Bright Side: Marietta and Power Springs Community Newspaper,http://www.brightsidenews.com/marpsnews.html,
"Marietta, GA",Marietta Daily Journal,http://www.mdjonline.com/,
"Marietta, GA",Cobb Business Journal,http://www.mdjonline.com/cobb_business_journal/,
"Marietta, GA",Cobb Football Friday,http://www.mdjonline.com/cobb_football_friday/,
"Marietta, GA",Neighbor News,http://www.mdjonline.com/neighbor_newspapers/,
"Marietta, GA",Tidbits of Marietta,http://www.tidbitsweekly.com/publisher/tidbits_marietta/index.php?p=1_3_Read-Tidbits-Online,
"Marietta, GA",WKHX 101.5 FM,http://www.wkhx.com/,
"Marietta, GA",Cobb Life Magazine,https://cobblifemagazine.wordpress.com,
"Marion, OH",WDIF Marion's Radio station,http://975wdif.com/,
"Marion, OH",Ohio State at Marion News,http://osumarion.osu.edu/news/,
"Marion, OH",WOSB The Ohio State University,http://wosu.org/,
"Marion, OH",WWGH - Marion's LP Radio Station,http://wwgh1071.com/2016/,
"Marion, OH",WOCB-CD Central Ohio Association of Christian Broadcasters,http://www.coacb.org/,
"Marion, OH",Marion Online News,http://www.mariononline.com,
"Marion, OH",The Marion Star,http://www.marionstar.com,
"Marion, OH","WMNO-CD Positive News Network, Inc.",http://www.mariontv22.com/,
"Marion, OH",WXMF Kayser Broadcast Ministries Inc,http://www.newvision.fm/,
